"URL","Image URL","ASIN","Title","Brand","Fulfillment","Category","BSR","UPC","GTIN","EAN","ISBN","Subcategory","Subcategory BSR","Price","Price Trend (90 days) (%)","Parent Level Sales","ASIN Sales","Sales Trend (90 days) (%)","Parent Level Revenue","ASIN Revenue","Review Count","Reviews Rating","Seller","Seller Country/Region","Number of Active Sellers","Last Year Sales","Sales Year Over Year (%)","Size Tier","Length","Width","Height","Weight","Storage Fee (Jan - Sep)","Storage Fee (Oct - Dec)","Best Sales Period","Age (Month)","Number of Images","Variation Count","Sales to Reviews"
"https://amazon.fr/dp/B0CZKL982P","https://m.media-amazon.com/images/I/61FrPuEaBRL._SX450_.jpg","B0CZKL982P","Multiprise avec Interrupteur","Acodot","FBA","Bricolage",20206,"N/A",06976564420179,"N/A","N/A","Multiprises",409,32.27,-3,56,56,-61,1882.6,1882.4,188,4.6,"STORMTEC25","Latvia",3,829,"N/A","Standard Parcel",5.2,6.06,8.66,2.2,"N/A","N/A","12/01/2024",22,6,0,0.3
"https://amazon.fr/dp/B07Q3QC8CW","https://m.media-amazon.com/images/I/61pcutWJPuL._SX450_.jpg","B07Q3QC8CW","NSGMXT 1K0905851B 1K0905865 Interrupteur d'allumage","NSGMXT","FBA","Auto et Moto",4831,"N/A","N/A",8211234166772,"N/A","Démarreur",2,23.89,-40,77,77,-4,1829.43,1828.53,455,4.7,"MSQ-CD","China",3,902,106,"Small Parcel",2.87,2.91,4.92,1.26,"N/A","N/A","01/01/2026",83,7,0,0.17
"https://amazon.fr/dp/B0F5413ST1","https://m.media-amazon.com/images/I/314wbXGOh-L._SX450_.jpg","B0F5413ST1","SONOFF Intelligent Interrupteur pour volet roulant","SONOFF","Amazon","Bricolage",5820,"N/A","N/A",6920075743180,"N/A","Domotique",12,17.04,-19,222,116,,7389.29,1975.03,152,4.5,"Amazon","N/A",4,0,"N/A","Standard Envelope",0.75,1.57,2.52,0.07,"N/A","N/A","02/01/2026",11,7,3,1.46
"https://amazon.fr/dp/B00CEFCEKI","https://m.media-amazon.com/images/I/41ua5hpth3L._SX450_.jpg","B00CEFCEKI","Febi bilstein 37341 Interrupteur, feu-marche arrière","Febi bilstein","Amazon","Auto et Moto",9046,"N/A",04027816373414,4027816373414,"N/A","Contacteur de phare de recul",3,20.7,-9,66,66,276,1326.79,1326.37,146,4.5,"Amazon","N/A",7,320,121,"Extra Large Envelope",1.85,2.52,3.66,0.13,"N/A","N/A","02/01/2026",150,4,0,0.46
"https://amazon.fr/dp/B0B1D6LD8K","https://m.media-amazon.com/images/I/71KVbHQLNJL._SX450_.jpg","B0B1D6LD8K","Minuteur mécanique, 220-240 V 16 A, 24 Heures, analogique Quotidien, Interrupteur Universel – Interrupteur horaire à Canal Unique, minuterie segmentée à Immersion","Transplant","FBA","Bricolage",25602,"N/A","N/A",5696486256618,"N/A","Minuteurs",58,25.85,6,51,51,-34,1321.64,1321.5,370,4.2,"Home & Sports Supplies","China",2,715,-4,"Small Parcel",2.8,3.27,4.41,0.44,"N/A","N/A","05/01/2024",46,7,0,0.14
"https://amazon.fr/dp/B0F8QN4Z2L","https://m.media-amazon.com/images/I/61uXWDRayYL._SX450_.jpg","B0F8QN4Z2L","BSEEDLIFE Interrupteur Mural,Interrupteur Encastrable avec Indicateur LED avec Cristal Cadre en Verre,Installation Facile,1 Gang 1 Voie 86 * 86mm Noir","BSEEDLIFE","FBA","Bricolage",2745,"N/A","N/A","N/A","N/A","Interrupteur mural",13,13.99,-11,361,96,40,4409.52,1317.34,196,4.4,"BSEEDLIFE STORE","China",2,0,"N/A","Extra Large Envelope",2.24,3.94,4.17,0.37,"N/A","N/A","01/01/2026",10,8,56,1.84
"https://amazon.fr/dp/B00OYS6AJ4","https://m.media-amazon.com/images/I/21r46soOC3L._SX450_.jpg","B00OYS6AJ4","Interrupteur différentiel 40A bipolaire type AC -à vis - CDC742F - Hager","Hager","FBM","Commerce, Industrie et Science",2208,"N/A","N/A","N/A","N/A","Interrupteurs à bascule",2,53.89,-7,48,48,92,2682.5,2681.95,14,4.9,"Elec distrib","France",3,247,"N/A","Large Envelope",3.15,3.94,1.57,0.44,"N/A","N/A","02/01/2026",93,1,0,3.73
"https://amazon.fr/dp/B00OYSBUX0","https://m.media-amazon.com/images/I/41MqicNMebL._SX450_.jpg","B00OYSBUX0","Interrupteur différentiel 40A bipolaire Type A- à vis - CDA743F - Hager","Hager","FBM","Bricolage",38131,"N/A","N/A","N/A","N/A","Disjoncteurs différentiels de fuite à la terre",23,71.86,-10,25,25,190,1961.75,1961.49,49,4.9,"Elec distrib","France",3,155,-63,"Extra Large Envelope",1.65,3.11,3.82,0.42,"N/A","N/A","04/01/2024",93,2,0,0.51
"https://amazon.fr/dp/B00BW86FBC","https://m.media-amazon.com/images/I/41LyQ3YWinL._SX450_.jpg","B00BW86FBC","DiO Connected Home Micro-module interrupteur sans fil portée 50m.","CHACON","Amazon","Bricolage",17714,"N/A",05411478547006,5411478547006,"N/A","Émetteurs radio muraux",25,17.75,-19,77,77,269,1364.93,1364.77,170,4.5,"Amazon","N/A",3,544,52,"Standard Envelope",0.98,4.33,5.71,0.09,"N/A","N/A","02/01/2026",156,5,0,0.45
"https://amazon.fr/dp/B07X58FNTM","https://m.media-amazon.com/images/I/41atLAXPKEL._SX450_.jpg","B07X58FNTM","interrupteur inverseur - 2 pôles - 63a - i / 0 / ii - hager sf263","Hager","FBA","Bricolage",14462,"N/A","N/A",3250615561008,"N/A","Interrupteur mural",88,68.15,40,64,64,181,4644.83,4644.17,141,4.7,"vg2013","Bulgaria",5,496,-30,"Small Parcel",3.03,3.23,3.94,0.79,"N/A","N/A","05/01/2024",78,4,1,0.45
"https://amazon.fr/dp/B0BNMRB2FZ","https://m.media-amazon.com/images/I/61vbfD2CsDL._SX450_.jpg","B0BNMRB2FZ","SONOFF NSPanel Interrupteur de Scène Intelligent, Interrupteur Mural WiFi (2 Gang), Thermostat sans Fil Domotique,APP et Contrôle de Scène Intelligent, Compatible avec Alexa et Google Home","SONOFF","FBA","Bricolage",17943,"N/A","N/A",6920075777703,"N/A","Programmable",23,49.9,-36,37,37,,1867.77,1867.65,111,4.1,"SONOFFEU","N/A",5,89,11,"Extra Large Envelope",2.05,3.62,3.74,0.53,"N/A","N/A","02/01/2026",40,9,0,0.34
"https://amazon.fr/dp/B009GFLW84","https://m.media-amazon.com/images/I/41DvYnxipmL._SX450_.jpg","B009GFLW84","Interrupteur différentiel 2P 230V~ 40A type F 30mA - 2 modules","Legrand","FBA","Commerce, Industrie et Science",9776,"N/A","N/A",3245064116442,"N/A","Interrupteurs industriels",218,79.9,-3,26,26,-42,1879.82,1879.6,38,4.6,"JALYZO","France",7,589,251,"Extra Large Envelope",1.65,3.46,3.94,0.42,"N/A","N/A","09/01/2025",162,12,0,0.72
"https://amazon.fr/dp/B07589QPYW","https://m.media-amazon.com/images/I/51wgD4FVuwL._SX450_.jpg","B07589QPYW","Interrupteur sans fil 230 V NineLeaf - Avec télécommande - Interrupteur de lumière sans fil - Étanche IP66 - Convient pour lampe de 1000 W (1 petit récepteur radio, 2 interrupteurs)","NineLeaf","FBA","Bricolage",42785,"N/A","N/A","N/A","N/A","Interrupteur mural",228,29.99,-30,54,38,140,1398.46,1036.05,229,4.7,"NineLeaf-UK","China",2,343,"N/A","Small Parcel",2.72,5.39,5.67,0.49,"N/A","N/A","11/01/2025",79,9,6,0.23
"https://amazon.fr/dp/B08K3T2BMW","https://m.media-amazon.com/images/I/61klWbehXWL._SX450_.jpg","B08K3T2BMW","Theben Selekta I Interrupteur astonomique I Produit d'importation sans support français","Theben","FBM","Bricolage",44271,"N/A","N/A",4003468170373,"N/A","Minuteurs",107,87,-10,19,19,65,1660.47,1660.32,19,4.5,"CHL Marketplace","Portugal",4,163,24,"Extra Large Envelope",2.01,3.46,4.17,0.31,"N/A","N/A","11/01/2025",66,1,0,0.99
"https://amazon.fr/dp/B00DG7EBNQ","https://m.media-amazon.com/images/I/51q+ArgAh+L._SX450_.jpg","B00DG7EBNQ","411660 Legrand Interrupteur Différentiel Tétrapolaire 25a Type Ac 30ma - 4 Modules","Legrand","FBM","Bricolage",15461,"N/A",03245064116602,3245064116602,"N/A","Disjoncteurs différentiels de fuite à la terre",7,60.78,12,161,23,-42,11877.39,1409.67,163,4.5,"Achat électrique","France",7,2217,-11,"Small Parcel",3.94,3.46,3.07,0.75,"N/A","N/A","07/01/2024",153,1,3,0.99
"https://amazon.fr/dp/B09MVVL918","https://m.media-amazon.com/images/I/61vh6K818CL._SX450_.jpg","B09MVVL918","LEGRAND - Prise Etanche et Interrupteur Va-et-vient IP55 Plexo - Prise 2P+T 16A/250V avec Volet + Interrupteur Mural 10A - Pour Pose Verticale en Apparent - Fabriqué En France - Gris","Legrand","Amazon","Bricolage",3271,"N/A","N/A",3414971904880,"N/A","Prises standard",47,25.4,-17,306,279,39,7478.34,6752.58,250,4,"Amazon","N/A",6,2909,32,"Small Parcel",2.56,3.23,5.94,0.77,"N/A","N/A","02/01/2026",51,3,2,1.22
"https://amazon.fr/dp/B07P62YD7K","https://m.media-amazon.com/images/I/314izn7zjNL._SX450_.jpg","B07P62YD7K","DiO Connected Home Module d'éclairage Connecté et Interrupteur sans Fil 54736","DiO Connected Home","Amazon","Bricolage",9373,"N/A",05411478547365,5411478547365,"N/A","Systèmes sécurité pour la maison",279,29.9,-25,144,144,82,4758.2,4756.82,156,4.4,"Amazon","N/A",6,1369,34,"Large Envelope",1.02,6.69,7.09,0.29,"N/A","N/A","01/01/2026",84,5,0,0.92
"https://amazon.fr/dp/B009P2BBGG","https://m.media-amazon.com/images/I/511uwcoqGjL._SX450_.jpg","B009P2BBGG","interrupteur différentiel hager - 63a - 30 ma - 2 pôles - type a - auto / vis","Hager","FBA","Bricolage",23147,"N/A","N/A",3250611612827,"N/A","Disjoncteurs différentiels de fuite à la terre",12,102,-27,25,25,764,2269.31,2268.92,58,4.8,"My Tech Online","France",7,276,-11,"Large Envelope",3.94,3.15,1.5,0.44,"N/A","N/A","03/01/2024",149,1,0,0.44
"https://amazon.fr/dp/B0B7RQV9V4","https://m.media-amazon.com/images/I/613RT-e1R2L._SX450_.jpg","B0B7RQV9V4","Schneider Electric - Kit Odace SFSP actionneur micro + Interrupteur + plaque style blanc - S520192K","Schneider Electric","FBA","Bricolage",7529,"N/A","N/A",3606481085887,"N/A","Interrupteur mural",47,78.9,-41,124,124,199,8683.73,8683.19,36,4.5,"Digital Brico","France",5,511,22,"Small Parcel",2.52,3.78,5.12,0.31,"N/A","N/A","01/01/2026",44,5,0,3.45
"https://amazon.fr/dp/B08X1R1VQR","https://m.media-amazon.com/images/I/31Zoq4xRLBL._SX450_.jpg","B08X1R1VQR","Interrupteur sans Fil Simple on/Off - IP20-50m de portée - Blanc - DiO","DiO Connected Home","Amazon","Bricolage",9496,"N/A",05411478547174,5411478547174,"N/A","Interrupteur mural",56,19.9,-13,83,83,41,1653.78,1652.83,89,4.3,"Amazon","N/A",2,424,42,"Large Envelope",1.02,4.29,5.79,0.24,"N/A","N/A","11/01/2025",61,5,0,0.94
"https://amazon.fr/dp/B00P53S432","https://m.media-amazon.com/images/I/5188h-0AcFL._SX450_.jpg","B00P53S432","Airkraft - Interrupteur à pression Condor MDR 3/11 bar, 6,3-10 A","Aircraft","FBM","Bricolage",155618,"N/A",09006248011687,9006248011687,"N/A","Accessoires de compresseur pneumatique",555,117.93,-4,11,11,,1373.75,1373.6,17,4.5,"MCT MultiChannelTrade","Germany",2,23,130,"Small Parcel",2.83,8.19,9.65,1.54,"N/A","N/A","02/01/2026",64,2,0,0.67
"https://amazon.fr/dp/B0758B9HFV","https://m.media-amazon.com/images/I/51Fwxe4xFVL._SX450_.jpg","B0758B9HFV","LEGRAND - Interrupteur Permutateur Neptune 10A - Commande d'Éclairage Monobloc - Prêt à Installer - Blanc","Legrand","Amazon","Bricolage",69502,"N/A",03414970810557,3414970810557,"N/A","Interrupteur mural",319,29.9,-11,35,35,-1,1045.94,1045.41,113,4.4,"Amazon","N/A",3,311,13,"Large Envelope",1.57,3.74,5.2,0.04,"N/A","N/A","12/01/2025",105,6,0,0.31
"https://amazon.fr/dp/B0C6F81W7Z","https://m.media-amazon.com/images/I/61ZFvjXDE0L._SX450_.jpg","B0C6F81W7Z","interrupteur - simple - sans fil et sans pile - odace - blanc - schneider electric s520104","Schneider Electric","FBM","Commerce, Industrie et Science",13624,"N/A","N/A",3606489717544,"N/A","Interrupteurs de courant",28,40.4,-22,32,32,-10,1040.92,1040.65,12,4.9,"La Maison Electrique","France",8,267,88,"Small Parcel",2.6,3.74,5.16,0.24,"N/A","N/A","01/01/2026",34,1,0,2.66
